name,foundingDate
ACCO WORLD CORPORATION         ,1903
FORTUNE FEDERAL                ,1934
SILICON VALLEY GROUP           ,1973
TIME ENERGY SYSTEMS            ,1980
URGENT CARE CENTERS            ,1982
CALIBRE CORPORATION            ,1981
"DIASONICS, INC.                ",1977
AMERICAN SOFTWARE              ,1970
DOUBLE R FAST FOOD             ,1980
FIRST FEDERAL                  ,1983
FIRST MUTUAL                   ,1952
TRANS WORLD AIRLINES           ,1978
VLSI TECHNOLOGY                ,1979
VIDEO CONNECTION               ,1979
AMERICA WEST AIR               ,1981
AUTOMATIX INCORPORATED         ,1980
BURNHAM SERVICE                ,1921
XEBEC                          ,1974
"THE MPSI GROUP, INC.           ",1970
APOLLO COMPUTER                ,1980
FORTUNE SYSTEMS                ,1980
INFORMATION RESOURCES          ,1977
NEW HAMPSHIRE SAVINGS          ,1982
INT'L LEASE FINANCE            ,1973
CONTINENTAL FEDERAL            ,1901
"FLOW SYSTEMS, INC.             ",1974
WASHINGTON MUTUAL              ,1901
PENTA SYSTEMS                  ,1981
TELEVIDEO SYSTEMS              ,1976
BR COMMUNICATIONS              ,1966
DST SYSTEMS                    ,1978
SCAN-TRON CORP.                ,1972
SOVEREIGN THOROBRED.           ,1981
COM VU CORPORATION             ,1980
MAXWELL LABORATORIES           ,1965
SCI. SYSTEMS SERVICE           ,1965
"SENTRY DATA, INC.              ",1980
TELECRAFTER CORP.              ,1977
INTEGRATED SOFTWARE            ,1970
VICTOR TECHNOLOGIES            ,1980
BURR-BROWN CORPORATION         ,1956
"FARM FRESH, INC.               ",1974
MASSTOR SYSTEMS                ,1976
BIOTECHNICA INT'L.             ,1981
WINCOM CORPORATION             ,1978
FIRST FINANCIAL MGMT.          ,1971
HOME FEDERAL OF TUCSON         ,1937
PUBLISHERS EQUIPMENT           ,1979
CALIFORNIA FEDERAL             ,1925
HOME FED. SAN DIEGO            ,1934
CAMBRIDGE BIOSCIENCE           ,1981
MOBILE COMMUNICATIONS          ,1965
DATRICON CORP.                 ,1979
DEVON STORES                   ,1979
INTERNATIONAL SAVINGS          ,1925
DEB SHOPS                      ,1973
BFI COMMUNICATIONS             ,1980
QUANTECH ELECTRONICS           ,1977
COMMONWEALTH FED. S&L          ,1980
GULFSTREAM AEROSPACE           ,1956
CONTINENTAL AIRLINES           ,1982
COLLINS INDUSTRIES             ,1971
RAUCH INDUSTRIES               ,1956
HYTEK MICROSYSTEMS             ,1974
VALLEY FEDERAL S&L             ,1925
INTERFACE FLOORING             ,1973
"IGC, INC.                      ",1981
COMBINED NETWORK               ,1980
INTEGRATED CIRCUITS            ,1969
REGIS CORPORATION              ,1954
"TELECI, INC.                   ",1967
TRAK AUTO CORP.                ,1980
CLINICAL DATA                  ,1974
E&B MARINE                     ,1956
"TELERATE, INC.                 ",1969
AMER. BLOODPRESSURE            ,1983
THE DRESS BARN                 ,1966
STERLING SOFTWARE              ,1983
GREEN TREE ACCEPTANCE          ,1975
OVERLAND EXPRESS               ,1964
MACNEAL-SCHWENDLER             ,1963
MORGAN KEEGAN & CO.            ,1969
UNITED BANCORP ALASKA          ,1974
CARE ENTERPRISES               ,1978
HOME FED./ROCKIES              ,1934
KINNEY SYSTEMS                 ,1977
"VALUE LINE, INC.               ",1931
CONSCO ENTERPRISES             ,1972
"SPECTRAVIDEO, INC.             ",1983
COLONIAL X-RAY CORP.           ,1980
"COMPUSHOP, INC.                ",1977
"CONVERSE, INC.                 ",1908
"INFO DESIGNS, INC.             ",1980
"PRIMAGES, INC.                 ",1981
UNIVERSAL HOLDING              ,1981
"BENAFUELS, INC.                ",1980
"COMPU-PLAN, INC.               ",1981
CUSTOM CREAMERY                ,1983
LSI LOGIC CORP.                ,1980
"LYPHOMED, INC.                 ",1980
CLUBMART OF AMERICA            ,1982
NU HORIZONS ELECTRONIC         ,1982
BASIC AMERICAN MED.            ,1974
GIBSON GREETINGS               ,1900
COSMO COMMUNICATIONS           ,1975
SYSTEMS ASSOCIATES             ,1966
FINANCIAL SECURITY S&L         ,1982
"ASTRO-MED, INC.                ",1971
ELECTRONIC FINANCIAL           ,1982
"JEFFREY MARTIN, INC.           ",1960
FLORIDA FEDERAL S&L            ,1933
MARITEK CORPORATION            ,1980
"ARMEL, INC.                    ",1974
SIS CORPORATION                ,1981
TELERAM COMMUNICATIONS         ,1983
COMPUTER LANGUAGE              ,1964
VUEBOTICS CORP.                ,1981
DAISY SYSTEMS                  ,1980
UNITED FIRST FEDERAL           ,1934
VITALITY UNLIMITED             ,1971
ARTEL COMMUNICATIONS           ,1981
DISTRIBUTED LOGIC              ,1977
"ENDATA, INC.                   ",1969
INTERAND CORPORATION           ,1969
MAGNETIC INFO. TECH.           ,1981
PRIAM CORPORATION              ,1978
SPECTRAN CORP.                 ,1981
BGS SYSTEMS                    ,1975
"DAMON BIOTECH, INC.            ",1973
MICROPOLIS CORP.               ,1976
VANZETTI SYSTEMS               ,1968
WESTERN WASTE INDUS.           ,1964
BIO-LOGIC SYSTEMS              ,1981
INTERSTATE UNIFORM             ,1950
AGENCY RENT-A-CAR              ,1971
AMHERST ASSOCIATES             ,1970
SPAN-AMERICAN MEDICAL          ,1970
"ACTIVISION, INC.               ",1971
BURLINGTON COAT                ,1972
"POWERTEC, INC.                 ",1965
"SELECTERM, INC.                ",1969
202 DATA SYSTEMS               ,1979
EAGLE COMPUTER                 ,1980
ENSUN CORP.                    ,1981
"MEDAR, INC.                    ",1978
"SHONEY'S SOUTH, INC.           ",1970
AMGEN                          ,1980
TBC CORPORATION                ,1970
GIGA-TRONICS                   ,1980
HPSC INC.                      ,1975
HALE SYSTEMS                   ,1979
ERBAMONT N.V.                  ,1853
"CALMAR, INC.                   ",1983
GRADCO SYSTEMS INC.            ,1978
KEY TRONIC CORP.               ,1969
QUICK & REILLY GROUP           ,1974
KENTRON INT'L                  ,1950
"CLAYTON HOMES, INC.            ",1968
"UNGERMANN-BASS, INC.           ",1979
AUTOMATED PROF. SYSTEM         ,1980
MARGAUX CONTROLS               ,1977
GENERAL HOMES CORP.            ,1973
VEGA BIOTECHNOLOGIES           ,1979
SMITH LABORATORIES             ,1979
MEDICAL 21 CORP.               ,1981
APPLIED BIOSYSTEMS             ,1980
"1 POTATO 2, INC.               ",1977
HALIFAX ENGINEERING            ,1967
AVANT-GARDE                    ,1978
BOMED MEDICAL LTD.             ,1980
EL CHICO CORPORATION           ,1940
TERRANO CORP.                  ,1977
"WICAT SYSTEMS, INC.            ",1980
CIPRICO INC.                   ,1978
IMMUNEX CORPORATION            ,1981
MARQUEST MEDICAL               ,1979
REPUBLIC HEALTH                ,1981
RJ FINANCIAL CORP.             ,1962
MERRY-GO-ROUND INC.            ,1971
APPLIED COMMUNICATIONS         ,1975
CIRCON CORPORATION             ,1957
INTERACTIVE RADIATN.           ,1973
IOMEGA CORPORATION             ,1980
STAAR SURGICAL CO.             ,1982
WILLIAMS-SONOMA                ,1956
CMC INTERNATIONAL              ,1979
TELEPHONE SUPPORT              ,1980
INT'L MEDICAL SYSTEMS          ,1982
"INVENTION, DESIGN              ",1979
"MICRO D., INC.                 ",1979
NAT'L HEALTH CORP              ,1971
PERFECT DATA CORP.             ,1976
PETRIE CORPORATION             ,1974
FOXMEYER CORPORATION           ,1977
"SATELCO, INC.                  ",1980
BARON DATA SYSTEMS             ,1976
DIAGNON CORP                   ,1981
"ILC TECHNOLOGY, INC.           ",1967
COMPTEK RESEARCH               ,1968
"ISOMEDIX, INC.                 ",1972
RAX RESTAURANTS                ,1977
FAIRMONT FINANCIAL             ,1970
"KOLFF MEDICAL, INC.            ",1976
HOWARD SAVINGS BANK            ,1901
INTEGRATED GENETICS            ,1981
LINEAR CORPORATION             ,1961
PACIFIC FIRST FEDERAL          ,1907
COMPUTRAC INC.                 ,1977
STIFEL FINANCIAL               ,1981
CHAD THERAPEUTICS              ,1982
GTECH CORPORATION              ,1980
MCDONALD & CO.                 ,1929
AIA INDUSTRIES                 ,1981
AN-CON GENETICS                ,1982
"ENDOTRONICS, INC.              ",1968
KINCAID FURNITURE              ,1980
TELXON CORPORATION             ,1969
WRIGHT LABORATORIES            ,1978
ZY MOS CORPORATION             ,1978
DAIRY MART STORES              ,1972
SAN FRANCISCO BANCORP          ,1980
"CME-SAT, INC.                  ",1982
"DRUG SYSTEMS, INC.             ",1981
FIRST FED. ARIZONA             ,1934
FREY ASSOCIATES                ,1974
HORIZON INDUSTRIES             ,1968
LIFELINE SYSTEMS               ,1974
HEALTHAMERICA CORP.            ,1980
VICTORIA FINANCIAL             ,1976
PROVIDENT INSTITUT.            ,1939
LEGG MASON                     ,1970
U.S. CAPITAL CORP.             ,1980
CHIRON CORP.                   ,1981
COMPUTERCRAFT INC.             ,1977
CONVENIENT FOOD MART           ,1958
FIRST FEDERAL AUSTIN           ,1955
FIRST INDIANA FED.             ,1904
HEI CORPORATION                ,1978
KEY IMAGE SYSTEMS              ,1977
"MACK TRUCKS, INC.              ",1900
ZIYAD INC.                     ,1979
CARDIOSEARCH INC.              ,1979
FIN'L. INST. SERVICE           ,1971
INFORMATION SCIENCE            ,1965
P.C. TELEMART INC.             ,1982
APPLIED CIRCUIT                ,1977
BIG BEAR INC.                  ,1976
CARDINAL DISTRIB.              ,1971
COOPER BIOMEDICAL              ,1980
"LADD FURNITURE, INC.           ",1927
SATELLITE SYNDICATED           ,1978
CROWN BOOKS CORP.              ,1977
MANUFACTURED HOMES             ,1975
KNOLL INTERNATIONAL            ,1938
"AVACARE, INC.                  ",1980
"GUEST SUPPLY, INC.             ",1980
THERMEDICS INC.                ,1966
TOTAL SYSTEMS SVCS.            ,1982
EQUITEC FINANCIAL              ,1972
FDP CORPORATION                ,1968
FINALCO GROUP                  ,1968
OLD FASHION FOODS              ,1968
"GULL, INC.                     ",1966
VITA PLUS INDUSTRIES           ,1975
DIAMOND-BATHURST               ,1975
BANKVERMONT CORP.              ,1983
"CABLEGUARD, INC.               ",1980
CINTAS CORPORATION             ,1968
MAXICARE HEALTH                ,1973
AMC ENTERTAINMENT              ,1968
GREAT AMERICAN FEDERAL         ,1901
TELEVISION TECHNOL.            ,1967
MCLEAN INDUSTRIES              ,1976
BALLARD MEDICAL                ,1978
"GAMES NETWORK, INC.            ",1983
TRI-COUNTY S & L               ,1975
BINDLEY WESTERN IND.           ,1970
ABM COMPUTER SYSTEMS           ,1982
"AULT, INC.                     ",1961
COMMONWEALTH S&L               ,1980
