Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Botswana,BWA,61.30228794,64.79115811,67.48070285,71.78598709,76.83900543,83.94368984,92.87705257,101.789896,115.2214618,138.8439561,177.2978456,223.279509,318.8310019,385.8523659,431.6554757,435.2463696,508.1426137,638.711186,853.3145524,1063.512327,1038.177983,947.4371725,1057.529832,1082.547929,941.0179809,1137.990354,1555.667942,2029.290298,2295.467134,2739.073484,2767.87741,2830.212158,2763.649031,2757.042726,2987.521379,2990.617274,3029.093551,2831.006218,3179.423007,3297.478684,3078.279632,3006.59407,4098.838026,4829.516059,5294.379478,5341.397472,5711.728492,5746.978872,5178.439109,6980.361809,7697.396215,7238.019365,
Sub-Saharan Africa (IFC classification),CAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,80.52069618,79.96806883,81.58782909,87.85880661,91.32220743,93.84542062,95.32440203,109.2530119,104.9238121,103.4097967,108.0312859,121.1775262,139.9782495,142.414234,187.6989974,218.8339562,240.5922529,282.8079239,316.5156714,350.4912064,296.9186618,310.3590912,265.1259066,249.5448519,329.7192008,418.09819,438.2050099,452.5295512,432.7144579,494.6098561,462.2702828,462.8040662,409.1911474,265.9393805,340.5047399,300.806324,273.8144879,276.5293528,280.0030869,251.3526401,251.571807,263.1597031,297.6143873,326.1973133,340.9078669,365.4970833,413.4814386,474.389479,464.5132313,456.5634087,498.7800669,482.6697266,
Canada,CAN,2231.293824,2255.230044,2354.839122,2529.518179,2739.585849,3010.705908,3173.076194,3411.060154,3703.990405,4047.268455,4503.180745,5048.481943,5764.261107,6915.889343,7354.268358,8624.613972,8731.678917,8931.293455,9831.079371,10933.73156,12075.0246,12217.37343,13113.16893,13506.37154,13711.5156,14076.75234,15876.84241,18522.65837,20289.76637,20968.04115,21234.37582,20320.47371,19549.0171,19390.48537,20117.09961,20684.94578,21260.28681,20390.38845,21681.37931,23559.50369,23017.36875,23425.22643,27335.30883,31011.91122,35087.89259,39249.99822,43248.50032,45101.55717,39659.05686,46211.53386,51554.05921,52218.99369,
East Asia and the Pacific (IFC classification),CEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia (IFC classification),CEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,1971.316323,2131.391652,2294.182847,2501.29319,2620.475547,2784.733548,2960.722586,3121.889031,3344.783603,,,,,,,,,,,17807.34013,16219.90552,16527.4595,16398.23574,15601.25596,15748.94646,22458.88498,27950.28713,30016.14909,28747.40785,36337.09553,36309.50835,37383.05449,36027.27754,39566.60087,46014.20798,44123.02715,38407.95376,39227.02645,38290.67488,35639.47886,36328.14291,39350.44275,45588.61982,50641.8372,51734.30389,54140.49815,59663.77026,68555.37187,65790.06735,70370.01637,83087.05284,78924.7259,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40538.06446,42406.93285,43299.40114,41608.46394,44157.16241,48226.07948,55842.65838,57209.24916,62263.83121,73577.16661,,,,,,
Chile,CHL,599.73615,683.7692858,664.4146993,685.3074867,699.5309454,792.6958602,765.0930096,767.3241729,870.123169,937.5909655,1096.277154,1161.43292,1622.455502,1513.260181,693.0920247,931.6801615,1245.055732,1415.604501,1879.181039,2463.488351,2872.854336,2108.53912,1685.218647,1612.585419,1359.451807,1437.152292,1666.66134,1931.545749,2186.65499,2388.307454,2706.813295,3244.299788,3416.87212,3882.808212,4941.045248,5167.599171,5567.942178,5266.152019,4781.7048,5133.077311,4625.336377,4487.150018,4866.33225,6223.973768,7614.522058,9371.427857,10383.49089,10672.25349,10120.03883,12684.93232,14512.61129,15452.1736,
China,CHN,75.87257116,69.78987327,73.68876603,83.93043528,97.47009798,103.1811715,95.49668825,90.37133078,98.8898853,111.8227255,117.1815906,130.1112674,155.078442,157.9993781,175.865754,162.9205149,182.678568,154.9720597,182.2847006,193.0220513,195.3054051,201.4447468,223.251945,248.2889082,291.7744907,279.1851067,249.4127911,280.9678615,307.4899926,314.4306005,329.7490887,362.808414,373.8000229,469.2131942,604.2280606,703.1207994,774.467161,820.8630768,864.7303144,949.1780621,1041.637704,1135.44795,1273.640743,1490.380056,1731.125235,2069.343631,2651.260121,3413.588661,3749.272424,4433.36122,5447.341422,6091.014352,
